symbol,realized_pnl
GOOGL,1892.564999999999
GOOG,373.9200000000006
ABBV,343.0999999999999
CVX,291.02000000000066
HD,251.82000000000062
NKE,216.5100000000003
T,213.59000000000003
BAC,168.05000000000024
AMZN,157.5000000000005
PG,146.86000000000024
AAPL,140.89
JPM,102.72000000000014
XOM,94.7699999999999
ABT,85.9550000000003
CMCSA,75.4400000000004
MRK,73.09999999999927
MCD,61.405000000001394
META,47.92999999999972
V,26.959999999999695
NFLX,10.794999999999618
COST,6.2850000000001955
MA,0.0
TEST,0.0
WMT,-4.489999999999711
VZ,-13.100000000000577
DIS,-13.275000000000148
TSLA,-18.439999999999884
NVDA,-25.53
JNJ,-26.05999999999986
UNH,-57.60499999999942
KO,-68.59499999999959
PEP,-71.90000000000066
CSCO,-98.08000000000038
INTC,-112.58999999999982
ADBE,-170.32500000000016
MSFT,-182.74500000000018
PFE,-389.7600000000014
ORCL,-393.5199999999994
CRM,-2123.515
